epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.877,1.35545,1.36963,1.37618,0.85768,0.77869,0.86354,0.53362,1.2559,0.79294,0.96902,0.000665868,0.000665868,0.000665868
2,278.511,1.25763,1.07195,1.31106,0.86883,0.75253,0.83929,0.53015,1.3072,0.75047,0.99205,0.00129484,0.00129484,0.00129484
3,416.055,1.21465,0.99828,1.27547,0.8686,0.77139,0.86252,0.56207,1.20656,0.70099,0.96229,0.0018861,0.0018861,0.0018861
4,561.653,1.16633,0.93015,1.24652,0.91234,0.8254,0.9002,0.60765,1.11803,0.69023,0.93539,0.00183029,0.00183029,0.00183029
5,707.046,1.12404,0.88442,1.22242,0.90635,0.83337,0.90203,0.60972,1.13351,0.62923,0.93964,0.00177371,0.00177371,0.00177371
6,853.069,1.10825,0.85941,1.21589,0.90172,0.83479,0.90893,0.62541,1.07522,0.61337,0.92584,0.00171714,0.00171714,0.00171714
7,1002.03,1.08048,0.81837,1.19844,0.89968,0.83597,0.90043,0.62287,1.0783,0.58704,0.92837,0.00166057,0.00166057,0.00166057
8,1152.79,1.06757,0.80764,1.19107,0.92324,0.85745,0.92227,0.63895,1.06872,0.58919,0.919,0.001604,0.001604,0.001604
9,1308.97,1.0432,0.78019,1.17788,0.93287,0.86462,0.92861,0.65328,1.01856,0.54373,0.90517,0.00154743,0.00154743,0.00154743
10,1466.94,1.03713,0.76748,1.17046,0.93472,0.87566,0.93578,0.66913,0.99309,0.52313,0.90271,0.00149086,0.00149086,0.00149086
11,1627.16,1.03105,0.76092,1.16846,0.92903,0.86229,0.92318,0.6686,0.98022,0.52413,0.89593,0.00143429,0.00143429,0.00143429
12,1782.71,1.01016,0.74522,1.15985,0.93214,0.87413,0.93733,0.67926,0.97113,0.49968,0.89583,0.00137771,0.00137771,0.00137771
13,1938.77,1.00208,0.72502,1.15017,0.93597,0.88017,0.94106,0.68404,0.95607,0.50452,0.89056,0.00132114,0.00132114,0.00132114
14,2095.67,0.99548,0.72511,1.15001,0.94422,0.88562,0.94517,0.68657,0.95567,0.49036,0.89158,0.00126457,0.00126457,0.00126457
15,2254.57,0.9851,0.70771,1.14264,0.94053,0.89064,0.94722,0.6969,0.93006,0.48513,0.8869,0.001208,0.001208,0.001208
16,2412.84,0.9742,0.69318,1.13541,0.94605,0.88654,0.94522,0.69371,0.93264,0.47412,0.88679,0.00115143,0.00115143,0.00115143
17,2571.87,0.96647,0.68975,1.13591,0.94341,0.89581,0.94708,0.70344,0.91121,0.46319,0.88141,0.00109486,0.00109486,0.00109486
18,2729.7,0.96238,0.68401,1.1291,0.94975,0.88416,0.94737,0.69674,0.92198,0.47298,0.88567,0.00103829,0.00103829,0.00103829
19,2886.56,0.95067,0.67169,1.12178,0.94552,0.89842,0.95102,0.70329,0.90677,0.46167,0.88041,0.000981714,0.000981714,0.000981714
20,3043.07,0.94305,0.66347,1.11939,0.94672,0.90028,0.95153,0.70538,0.90198,0.45468,0.88004,0.000925143,0.000925143,0.000925143
21,3202.13,0.93779,0.65525,1.11457,0.94809,0.90207,0.95449,0.71499,0.88625,0.44203,0.87769,0.000868571,0.000868571,0.000868571
22,3361.12,0.92554,0.65004,1.11025,0.94294,0.90679,0.95414,0.71513,0.88851,0.43835,0.87842,0.000812,0.000812,0.000812
23,3519.48,0.91979,0.63914,1.10563,0.95553,0.89636,0.95397,0.71696,0.88885,0.43815,0.87818,0.000755429,0.000755429,0.000755429
24,3678.38,0.91495,0.63629,1.10387,0.95201,0.89712,0.95387,0.71569,0.88714,0.43926,0.87593,0.000698857,0.000698857,0.000698857
25,3826.48,0.90749,0.62634,1.10286,0.95152,0.90042,0.95468,0.72022,0.87816,0.43376,0.87489,0.000642286,0.000642286,0.000642286
26,3997.4,0.86075,0.53888,1.07688,0.94635,0.9062,0.9557,0.72063,0.88011,0.43354,0.87516,0.000585714,0.000585714,0.000585714
27,4146.14,0.85366,0.5253,1.07266,0.94693,0.9084,0.95595,0.71975,0.88206,0.43305,0.87564,0.000529143,0.000529143,0.000529143
28,4295.72,0.84355,0.5145,1.06296,0.94541,0.91021,0.95597,0.72185,0.87694,0.42997,0.87377,0.000472571,0.000472571,0.000472571
29,4444.68,0.8348,0.50609,1.06065,0.94319,0.91044,0.95551,0.72278,0.87483,0.42608,0.87425,0.000416,0.000416,0.000416
30,4587.64,0.82513,0.49875,1.0558,0.95385,0.90357,0.95721,0.72627,0.86949,0.42296,0.87291,0.000359429,0.000359429,0.000359429
31,4732.98,0.81537,0.48924,1.04943,0.95066,0.90815,0.95779,0.72727,0.86539,0.42172,0.87276,0.000302857,0.000302857,0.000302857
32,4879.17,0.805,0.4841,1.04344,0.95181,0.90596,0.95729,0.72797,0.86411,0.41939,0.87159,0.000246286,0.000246286,0.000246286
33,5025.94,0.80334,0.47803,1.04348,0.95574,0.90266,0.95802,0.72965,0.85784,0.41584,0.87073,0.000189714,0.000189714,0.000189714
34,5174.36,0.79188,0.47079,1.03762,0.95552,0.90431,0.95814,0.73017,0.85471,0.41505,0.87024,0.000133143,0.000133143,0.000133143
35,5321.17,0.78752,0.46733,1.03656,0.9537,0.90808,0.95937,0.73154,0.85243,0.41341,0.87034,7.65714e-05,7.65714e-05,7.65714e-05
