epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,348.996,1.24918,1.23477,1.35405,0.88205,0.7931,0.88135,0.60018,1.03604,0.64756,0.93441,0.0033316,0.0033316,0.0033316
2,709.55,1.14118,0.96294,1.25324,0.9104,0.84051,0.91061,0.60646,1.09417,0.60416,0.95453,0.00647641,0.00647641,0.00647641
3,1071.73,1.21202,1.02447,1.29784,0.8892,0.78868,0.87739,0.55734,1.17912,0.69371,1.00353,0.00943265,0.00943265,0.00943265
4,1430.13,1.2314,1.04139,1.31395,0.89308,0.80438,0.88555,0.59794,1.11373,0.64813,0.9724,0.00915143,0.00915143,0.00915143
5,1818.21,1.17857,0.96397,1.2846,0.92157,0.85388,0.92584,0.62958,1.06699,0.57417,0.95482,0.00886857,0.00886857,0.00886857
6,2208.47,1.12821,0.90514,1.26013,0.91958,0.83814,0.909,0.63373,1.01717,0.57335,0.93444,0.00858571,0.00858571,0.00858571
7,2595.46,1.10309,0.86789,1.24485,0.93716,0.86755,0.93268,0.6481,1.00765,0.55303,0.93289,0.00830286,0.00830286,0.00830286
8,2989.79,1.07239,0.83695,1.22924,0.93579,0.86802,0.9353,0.66964,0.95858,0.51559,0.91205,0.00802,0.00802,0.00802
9,3378.98,1.05777,0.8182,1.2185,0.93457,0.87532,0.9376,0.6716,0.94615,0.51745,0.90989,0.00773714,0.00773714,0.00773714
10,3774.31,1.03904,0.79617,1.20709,0.94061,0.87297,0.93955,0.68101,0.91487,0.50238,0.90188,0.00745429,0.00745429,0.00745429
11,4174.42,1.02525,0.77638,1.19844,0.94184,0.89695,0.94846,0.69858,0.89668,0.46164,0.89799,0.00717143,0.00717143,0.00717143
12,4575.25,1.01799,0.76481,1.19328,0.94445,0.89347,0.94872,0.70556,0.87861,0.46139,0.8896,0.00688857,0.00688857,0.00688857
13,4946.9,1.00051,0.74886,1.18552,0.94062,0.89324,0.94767,0.70565,0.87101,0.45852,0.89404,0.00660571,0.00660571,0.00660571
14,5333.72,0.98919,0.74062,1.17838,0.94922,0.89795,0.95404,0.71797,0.84057,0.44111,0.88513,0.00632286,0.00632286,0.00632286
15,5724.27,0.98155,0.72747,1.17457,0.9486,0.90038,0.954,0.72408,0.83721,0.43255,0.88603,0.00604,0.00604,0.00604
16,6070.49,0.96814,0.71289,1.16587,0.94509,0.89936,0.95513,0.72289,0.83853,0.42769,0.88332,0.00575714,0.00575714,0.00575714
17,6412.06,0.96114,0.70309,1.16363,0.94293,0.90732,0.95553,0.72551,0.82447,0.42243,0.88032,0.00547429,0.00547429,0.00547429
18,6774.32,0.95825,0.69978,1.15654,0.95014,0.90243,0.95541,0.73015,0.81756,0.41168,0.87852,0.00519143,0.00519143,0.00519143
19,7167.97,0.94154,0.686,1.15016,0.93752,0.91953,0.95945,0.74093,0.79298,0.40149,0.87411,0.00490857,0.00490857,0.00490857
20,7527.85,0.93457,0.67825,1.15126,0.9523,0.91276,0.95872,0.73992,0.79754,0.40041,0.87521,0.00462571,0.00462571,0.00462571
21,7847.15,0.92873,0.66886,1.1433,0.95377,0.9128,0.96138,0.7407,0.79516,0.39879,0.87388,0.00434286,0.00434286,0.00434286
22,8167.35,0.91984,0.65954,1.13852,0.95952,0.91617,0.9639,0.7494,0.77747,0.38653,0.87021,0.00406,0.00406,0.00406
23,8486.66,0.91099,0.65349,1.13008,0.95745,0.91749,0.96295,0.75259,0.77312,0.38408,0.87017,0.00377714,0.00377714,0.00377714
24,8823.59,0.90249,0.64441,1.1297,0.9588,0.91594,0.96103,0.75435,0.76975,0.38123,0.86945,0.00349429,0.00349429,0.00349429
25,9154.79,0.89327,0.63304,1.12608,0.95454,0.9201,0.9622,0.75397,0.76908,0.37707,0.86941,0.00321143,0.00321143,0.00321143
26,9518.57,0.85724,0.56235,1.09703,0.9461,0.92128,0.96399,0.74998,0.77756,0.38041,0.87306,0.00292857,0.00292857,0.00292857
27,9865.65,0.85216,0.55842,1.09003,0.95618,0.9168,0.96594,0.75302,0.7643,0.3808,0.86711,0.00264571,0.00264571,0.00264571
28,10204.5,0.84145,0.54741,1.08612,0.95121,0.91901,0.9638,0.75582,0.76613,0.37779,0.86788,0.00236286,0.00236286,0.00236286
29,10530.6,0.82919,0.53848,1.08029,0.95812,0.91673,0.96511,0.75735,0.76559,0.37361,0.86955,0.00208,0.00208,0.00208
30,10867.3,0.81705,0.52564,1.07473,0.95379,0.9194,0.96573,0.76111,0.7593,0.3703,0.8675,0.00179714,0.00179714,0.00179714
31,11201.4,0.8124,0.52037,1.07374,0.95037,0.92059,0.96498,0.75991,0.75793,0.37158,0.86744,0.00151429,0.00151429,0.00151429
32,11534.1,0.79637,0.50783,1.06312,0.95455,0.92058,0.96545,0.7619,0.75479,0.36849,0.86627,0.00123143,0.00123143,0.00123143
33,11868.2,0.79008,0.50083,1.05899,0.94985,0.92412,0.96603,0.76252,0.75432,0.36749,0.86633,0.000948571,0.000948571,0.000948571
34,12201.8,0.77954,0.49317,1.05418,0.95344,0.9234,0.96543,0.76283,0.75227,0.36492,0.86661,0.000665714,0.000665714,0.000665714
35,12537.1,0.76939,0.48403,1.0508,0.94808,0.92977,0.96624,0.76472,0.74966,0.3635,0.8657,0.000382857,0.000382857,0.000382857
