epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.37417,2.8491,3.50735,2.04562,0.0354,0.25029,0.02366,0.01001,2.24037,3.44276,1.45198,0.0001,0.0001,0.0001
2,7.94,2.12079,3.2517,1.56605,0.07463,0.52769,0.1897,0.07042,1.85711,inf,1.09918,0.00021274,0.00021274,0.00021274
3,10.6584,1.67802,2.63649,1.1706,0.0828,0.58543,0.41747,0.19832,1.60926,inf,0.99856,0.00031756,0.00031756,0.00031756
4,13.2802,1.63386,2.07974,1.10656,0.10013,0.70799,0.442,0.2192,1.56146,inf,0.99276,0.00041446,0.00041446,0.00041446
5,15.6566,1.56782,1.55181,1.08042,0.1051,0.74311,0.44893,0.22665,1.5661,inf,0.97438,0.00050344,0.00050344,0.00050344
6,18.2551,1.5095,1.20878,1.07857,0.21711,0.46406,0.45946,0.23397,1.54952,2.65672,0.97198,0.0005845,0.0005845,0.0005845
7,20.6916,1.32916,0.98378,1.0612,0.91043,0.21082,0.42894,0.23565,1.49469,2.53193,0.98396,0.00065764,0.00065764,0.00065764
8,23.0026,1.34622,0.93546,1.04349,0.97516,0.20355,0.5288,0.32405,1.43173,2.36855,0.96986,0.00072286,0.00072286,0.00072286
9,25.4239,1.26113,0.87818,1.04392,0.97077,0.28963,0.63348,0.39569,1.403,2.18653,0.97615,0.00078016,0.00078016,0.00078016
10,27.8186,1.24953,0.84647,1.02875,0.98238,0.35487,0.70872,0.42926,1.39362,2.06861,0.97701,0.00082954,0.00082954,0.00082954
11,30.3176,1.2341,0.81494,1.01356,0.98064,0.44162,0.78946,0.497,1.34499,1.86554,0.94975,0.000871,0.000871,0.000871
12,32.5037,1.20135,0.80594,0.99874,0.98398,0.50676,0.84208,0.53063,1.33322,1.75674,0.9413,0.00090454,0.00090454,0.00090454
13,34.6163,1.17403,0.78043,1.00565,0.96367,0.48767,0.82341,0.53994,1.26635,1.64818,0.92468,0.00093016,0.00093016,0.00093016
14,36.778,1.1403,0.76067,0.99194,0.95161,0.63587,0.8566,0.55471,1.27119,1.46483,0.92854,0.00094786,0.00094786,0.00094786
15,38.9101,1.12002,0.74076,0.98248,0.91582,0.69486,0.84868,0.53457,1.30658,1.39102,0.94547,0.00095764,0.00095764,0.00095764
16,41.0415,1.13206,0.7493,0.98605,0.92971,0.75439,0.88079,0.55866,1.27332,1.33071,0.931,0.0009595,0.0009595,0.0009595
17,43.1515,1.12455,0.73307,0.99767,0.92648,0.68395,0.8497,0.55928,1.2554,1.31818,0.92959,0.000944,0.000944,0.000944
18,45.1982,1.12473,0.72678,0.98727,0.91772,0.736,0.8538,0.57342,1.21815,1.18977,0.92593,0.000878,0.000878,0.000878
19,47.2936,1.10095,0.70366,0.97099,0.91552,0.82238,0.89503,0.58893,1.22652,1.02446,0.92517,0.000812,0.000812,0.000812
20,49.5044,1.11333,0.70473,0.97485,0.92345,0.83455,0.90726,0.61105,1.1841,0.93126,0.91029,0.000746,0.000746,0.000746
21,77.2994,1.05976,0.83777,0.96717,0.90783,0.82442,0.8991,0.60577,1.19687,0.98379,0.91158,0.00068,0.00068,0.00068
22,79.5802,1.02068,0.75693,0.96094,0.87426,0.73247,0.83688,0.54181,1.34541,1.20113,0.9255,0.000614,0.000614,0.000614
23,81.814,0.99157,0.69282,0.94293,0.90634,0.79684,0.88468,0.59773,1.19672,1.01877,0.90544,0.000548,0.000548,0.000548
24,84.0492,0.97794,0.6538,0.94399,0.90234,0.77822,0.87311,0.58341,1.2487,0.93182,0.90962,0.000482,0.000482,0.000482
25,86.2103,0.98294,0.65048,0.93202,0.90114,0.81028,0.88833,0.60576,1.18373,0.87721,0.90704,0.000416,0.000416,0.000416
26,88.3424,0.95811,0.65701,0.94211,0.91301,0.82862,0.90083,0.61413,1.16499,0.86345,0.90576,0.00035,0.00035,0.00035
27,90.4437,0.96754,0.63063,0.94117,0.9171,0.83691,0.90675,0.62125,1.14537,0.83676,0.90147,0.000284,0.000284,0.000284
28,92.4867,0.9781,0.64305,0.93209,0.91589,0.8392,0.90542,0.61298,1.17949,0.81588,0.90577,0.000218,0.000218,0.000218
29,94.5116,0.97303,0.63334,0.93372,0.91474,0.83549,0.90408,0.61433,1.16883,0.78356,0.90515,0.000152,0.000152,0.000152
30,96.5191,0.9381,0.60464,0.92403,0.91518,0.84427,0.90946,0.62435,1.14312,0.74485,0.90236,8.6e-05,8.6e-05,8.6e-05
