epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7706,1.94289,2.22052,1.41365,0.92152,0.84683,0.90145,0.58881,1.1084,0.67989,0.93491,0.000658436,0.000658436,0.000658436
2,29.6215,1.87567,1.76495,1.31674,0.8751,0.76738,0.84155,0.56089,1.17239,0.84582,0.95601,0.00128093,0.00128093,0.00128093
3,43.2082,1.93659,1.84316,1.32211,0.81611,0.62597,0.74863,0.43884,1.33837,1.2416,0.99466,0.00185899,0.00185899,0.00185899
4,56.8591,1.92163,1.83598,1.3267,0.82104,0.42399,0.62833,0.34171,1.55652,1.69928,1.05845,0.0018,0.0018,0.0018
5,70.5904,1.89367,1.78469,1.30028,0.82779,0.46563,0.64891,0.36485,1.3988,1.69868,1.03233,0.00173333,0.00173333,0.00173333
6,84.7775,1.94173,1.81625,1.32096,0.77577,0.64271,0.72886,0.42677,1.36914,1.05641,1.02687,0.00166667,0.00166667,0.00166667
7,98.6319,1.89999,1.76838,1.29382,0.71995,0.54018,0.63574,0.33487,1.52138,1.48382,1.06933,0.0016,0.0016,0.0016
8,112.768,1.88208,1.74476,1.28147,0.70083,0.42181,0.52092,0.2892,1.64148,1.66981,1.1164,0.00153333,0.00153333,0.00153333
9,127.343,1.82603,1.663,1.28025,0.75746,0.47396,0.58684,0.32704,1.52547,1.7004,1.06415,0.00146667,0.00146667,0.00146667
10,141.925,1.84494,1.70772,1.28342,0.76349,0.47773,0.59892,0.32803,1.53766,1.68632,1.06101,0.0014,0.0014,0.0014
11,156.472,1.82972,1.67408,1.26908,0.7315,0.46076,0.57786,0.31138,1.52709,1.6671,1.08978,0.00133333,0.00133333,0.00133333
12,170.832,1.8045,1.66359,1.26474,0.74381,0.50318,0.61443,0.34106,1.53122,1.48148,1.07943,0.00126667,0.00126667,0.00126667
13,185.352,1.81061,1.63177,1.2699,0.75663,0.55385,0.64767,0.35953,1.58148,1.35878,1.13073,0.0012,0.0012,0.0012
14,200.253,1.7953,1.62815,1.26314,0.77129,0.50469,0.61682,0.34287,1.61938,1.43765,1.1167,0.00113333,0.00113333,0.00113333
15,214.938,1.76763,1.58281,1.24698,0.75349,0.52675,0.62044,0.35088,1.54957,1.33977,1.08064,0.00106667,0.00106667,0.00106667
16,229.296,1.75587,1.56315,1.24779,0.74978,0.51709,0.61901,0.35412,1.56242,1.40791,1.08925,0.001,0.001,0.001
17,243.647,1.75116,1.54841,1.24347,0.77516,0.45747,0.58677,0.33418,1.54631,1.6302,1.07566,0.000933334,0.000933334,0.000933334
18,258.335,1.75265,1.54247,1.24265,0.78214,0.4899,0.60433,0.34426,1.50403,1.49612,1.06249,0.000866668,0.000866668,0.000866668
19,273.51,1.72824,1.51605,1.22679,0.81138,0.4511,0.58076,0.32904,1.5946,1.55391,1.0946,0.000800001,0.000800001,0.000800001
20,288.105,1.73415,1.52426,1.22913,0.75595,0.43083,0.51557,0.2793,1.86468,1.54613,1.22762,0.000733335,0.000733335,0.000733335
21,325.966,1.73393,1.58507,1.2737,0.75462,0.41197,0.50458,0.27915,1.80768,1.69881,1.18389,0.000666668,0.000666668,0.000666668
22,339.905,1.69915,1.51531,1.24604,0.79369,0.41526,0.50695,0.28528,1.74049,1.72902,1.1577,0.000600001,0.000600001,0.000600001
23,354.118,1.67706,1.48826,1.24305,0.76476,0.42753,0.52699,0.29498,1.73774,1.58445,1.16168,0.000533335,0.000533335,0.000533335
24,368.213,1.67518,1.48174,1.24469,0.76227,0.38228,0.48461,0.26705,1.68724,1.84314,1.11384,0.000466668,0.000466668,0.000466668
25,382.716,1.69041,1.4811,1.25342,0.78475,0.2939,0.40815,0.22391,1.81181,2.08869,1.18541,0.000400002,0.000400002,0.000400002
26,397.544,1.65131,1.4252,1.23812,0.77512,0.33679,0.4417,0.23702,1.80511,1.99587,1.15986,0.000333335,0.000333335,0.000333335
27,412.088,1.64068,1.43678,1.23795,0.77201,0.3264,0.4242,0.22791,1.84422,1.99426,1.18436,0.000266668,0.000266668,0.000266668
28,426.989,1.60921,1.38713,1.22435,0.7935,0.30338,0.41041,0.22097,1.8743,2.03582,1.1961,0.000200002,0.000200002,0.000200002
29,442.015,1.60093,1.35513,1.21125,0.7961,0.3144,0.43138,0.23277,1.80757,2.04181,1.1789,0.000133335,0.000133335,0.000133335
30,457.092,1.6123,1.38435,1.22683,0.80748,0.29837,0.4199,0.22563,1.81704,2.055,1.18954,6.66686e-05,6.66686e-05,6.66686e-05
