epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.5803,1.02084,0.81422,1.1682,0.94849,0.8666,0.93651,0.67894,0.96078,0.52844,0.88918,0.0667681,3.32652e-05,3.32652e-05
2,110.48,0.99691,0.79121,1.15758,0.92491,0.8796,0.93403,0.67615,0.94943,0.49051,0.88745,0.0334659,6.43788e-05,6.43788e-05
3,162.607,0.98686,0.77454,1.15132,0.94306,0.87792,0.9402,0.6891,0.94333,0.47089,0.88845,0.000161437,9.32704e-05,9.32704e-05
4,216.216,0.98221,0.76567,1.1482,0.94123,0.87941,0.94026,0.69038,0.93928,0.46569,0.88767,9.0001e-05,9.0001e-05,9.0001e-05
5,269.654,0.98008,0.76416,1.14475,0.93712,0.87817,0.9382,0.69004,0.9352,0.46707,0.886,8.6668e-05,8.6668e-05,8.6668e-05
6,325.11,0.97831,0.75774,1.14515,0.93654,0.88027,0.93915,0.68993,0.93602,0.46858,0.88713,8.3335e-05,8.3335e-05,8.3335e-05
7,380.605,0.9729,0.75486,1.14252,0.94223,0.87641,0.93964,0.69227,0.93501,0.46721,0.88694,8.0002e-05,8.0002e-05,8.0002e-05
8,435.548,0.97308,0.75214,1.14186,0.93324,0.88298,0.93954,0.69096,0.93554,0.4627,0.88791,7.6669e-05,7.6669e-05,7.6669e-05
9,489.586,0.97595,0.75975,1.14305,0.94376,0.87404,0.93995,0.69155,0.93439,0.46212,0.88651,7.3336e-05,7.3336e-05,7.3336e-05
10,544.343,0.97245,0.74809,1.1413,0.93845,0.87745,0.94041,0.69218,0.93686,0.46215,0.8874,7.0003e-05,7.0003e-05,7.0003e-05
11,597.647,0.96597,0.74575,1.13995,0.94389,0.87622,0.94075,0.69272,0.93577,0.46089,0.88856,6.667e-05,6.667e-05,6.667e-05
12,652.254,0.96483,0.741,1.13633,0.93891,0.88027,0.94034,0.69238,0.93643,0.46487,0.88873,6.3337e-05,6.3337e-05,6.3337e-05
13,706.659,0.97803,0.74968,1.14143,0.94081,0.87745,0.93978,0.69296,0.93417,0.46209,0.88765,6.0004e-05,6.0004e-05,6.0004e-05
14,761.116,0.96495,0.74163,1.13719,0.93775,0.88122,0.94012,0.69353,0.93838,0.46173,0.88852,5.6671e-05,5.6671e-05,5.6671e-05
15,815.35,0.96584,0.73998,1.13314,0.93705,0.88051,0.93954,0.69479,0.93467,0.46033,0.88691,5.3338e-05,5.3338e-05,5.3338e-05
16,871.037,0.96185,0.73392,1.13356,0.93602,0.87721,0.93825,0.69431,0.93181,0.46098,0.88752,5.0005e-05,5.0005e-05,5.0005e-05
17,924.178,0.96543,0.74653,1.13842,0.93934,0.87954,0.9402,0.69353,0.93416,0.46028,0.88726,4.6672e-05,4.6672e-05,4.6672e-05
18,978.865,0.96181,0.73922,1.13204,0.94066,0.88192,0.94103,0.69449,0.93277,0.4564,0.88741,4.3339e-05,4.3339e-05,4.3339e-05
19,1033.92,0.96615,0.7379,1.1377,0.93963,0.88041,0.94017,0.69522,0.93271,0.45946,0.88715,4.0006e-05,4.0006e-05,4.0006e-05
20,1088.9,0.96033,0.73915,1.13535,0.94072,0.88258,0.94087,0.69529,0.93338,0.45726,0.88753,3.6673e-05,3.6673e-05,3.6673e-05
21,1168.61,0.9115,0.64953,1.10251,0.93678,0.88002,0.93954,0.69661,0.93093,0.45791,0.88811,3.334e-05,3.334e-05,3.334e-05
22,1221.96,0.90967,0.64124,1.10296,0.94541,0.86872,0.93939,0.69692,0.9297,0.46161,0.8879,3.0007e-05,3.0007e-05,3.0007e-05
23,1276.23,0.911,0.64625,1.10377,0.93448,0.87737,0.93881,0.69813,0.93206,0.46205,0.88766,2.6674e-05,2.6674e-05,2.6674e-05
24,1338.42,0.90972,0.64329,1.10274,0.94459,0.87185,0.9398,0.69828,0.93033,0.4616,0.88786,2.3341e-05,2.3341e-05,2.3341e-05
25,1399.94,0.90827,0.63829,1.10102,0.93593,0.87443,0.93883,0.69891,0.92793,0.46575,0.88749,2.0008e-05,2.0008e-05,2.0008e-05
26,1459.96,0.90475,0.63812,1.10077,0.94487,0.86896,0.93966,0.69867,0.92963,0.46324,0.88797,1.6675e-05,1.6675e-05,1.6675e-05
27,1518.75,0.9053,0.63672,1.10006,0.95096,0.86401,0.93958,0.69834,0.92959,0.46303,0.88765,1.3342e-05,1.3342e-05,1.3342e-05
28,1580.89,0.90318,0.63572,1.10161,0.94607,0.86825,0.93906,0.69777,0.92993,0.46299,0.88777,1.0009e-05,1.0009e-05,1.0009e-05
29,1639.56,0.90097,0.6325,1.09524,0.93843,0.8765,0.93971,0.69896,0.93018,0.46268,0.88824,6.676e-06,6.676e-06,6.676e-06
30,1698.64,0.90218,0.6334,1.09906,0.93946,0.87674,0.93958,0.6989,0.93038,0.46271,0.88796,3.343e-06,3.343e-06,3.343e-06
