epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.3181,1.02344,0.81681,1.16855,0.93366,0.86569,0.92823,0.66939,0.97719,0.52104,0.89764,0.0667681,3.32652e-05,3.32652e-05
2,126.417,0.9946,0.78587,1.15722,0.93446,0.87363,0.93113,0.67705,0.94972,0.48627,0.88898,0.0334674,6.59325e-05,6.59325e-05
3,188.445,0.98394,0.76559,1.14887,0.94566,0.87556,0.93776,0.68666,0.9449,0.46757,0.89003,0.0001661,9.79332e-05,9.79332e-05
4,250.441,0.97702,0.75541,1.14457,0.95567,0.86802,0.93993,0.69171,0.93695,0.46034,0.88768,9.7e-05,9.7e-05,9.7e-05
5,310.707,0.97449,0.74877,1.14034,0.94508,0.87609,0.93904,0.69003,0.93928,0.46467,0.88788,9.6e-05,9.6e-05,9.6e-05
6,374.88,0.97264,0.74453,1.14155,0.94814,0.86684,0.93846,0.68976,0.93761,0.46949,0.88774,9.5e-05,9.5e-05,9.5e-05
7,439.18,0.96741,0.73965,1.13921,0.94965,0.86543,0.93745,0.69061,0.93741,0.47668,0.88837,9.40001e-05,9.40001e-05,9.40001e-05
8,502.637,0.96584,0.73686,1.13645,0.94561,0.87285,0.93858,0.6897,0.94412,0.46484,0.89044,9.30001e-05,9.30001e-05,9.30001e-05
9,568.482,0.96955,0.74405,1.13747,0.94847,0.87108,0.93763,0.69004,0.93948,0.46498,0.888,9.20001e-05,9.20001e-05,9.20001e-05
10,633.286,0.96541,0.73266,1.13441,0.94054,0.87438,0.93809,0.69251,0.94312,0.46973,0.8898,9.10001e-05,9.10001e-05,9.10001e-05
11,695.576,0.96031,0.72952,1.1348,0.94418,0.873,0.93773,0.69112,0.94129,0.46415,0.89028,9.00001e-05,9.00001e-05,9.00001e-05
12,759.178,0.95695,0.72614,1.12989,0.94019,0.87037,0.93614,0.69043,0.93977,0.47484,0.88887,8.90001e-05,8.90001e-05,8.90001e-05
13,821.26,0.97025,0.73149,1.13478,0.93912,0.87248,0.93683,0.69181,0.94144,0.46776,0.88953,8.80001e-05,8.80001e-05,8.80001e-05
14,884.14,0.95914,0.72519,1.13167,0.93653,0.8725,0.93463,0.69137,0.94347,0.46801,0.89046,8.70001e-05,8.70001e-05,8.70001e-05
15,946.134,0.95743,0.72226,1.12726,0.93739,0.87856,0.93792,0.69295,0.93308,0.46132,0.88847,8.60001e-05,8.60001e-05,8.60001e-05
16,1008.75,0.95465,0.71781,1.12796,0.93465,0.87646,0.93724,0.69303,0.93428,0.46075,0.88963,8.50002e-05,8.50002e-05,8.50002e-05
17,1072.25,0.95725,0.72645,1.13229,0.94048,0.87344,0.93786,0.6916,0.94445,0.46485,0.89197,8.40002e-05,8.40002e-05,8.40002e-05
18,1135.45,0.95489,0.72133,1.12719,0.93871,0.87179,0.93683,0.69322,0.94696,0.46639,0.89293,8.30002e-05,8.30002e-05,8.30002e-05
19,1198.15,0.95674,0.71769,1.13122,0.93836,0.87192,0.93633,0.69399,0.9365,0.46859,0.88954,8.20002e-05,8.20002e-05,8.20002e-05
20,1261.79,0.95278,0.72038,1.12948,0.94089,0.87417,0.93667,0.69327,0.94249,0.4634,0.89184,8.10002e-05,8.10002e-05,8.10002e-05
21,1326.17,0.95401,0.71519,1.12728,0.937,0.87273,0.9359,0.69282,0.93968,0.4683,0.89031,8.00002e-05,8.00002e-05,8.00002e-05
22,1388.84,0.95095,0.71179,1.124,0.94069,0.87098,0.93636,0.69117,0.94858,0.46658,0.89184,7.90002e-05,7.90002e-05,7.90002e-05
23,1451.15,0.95029,0.71463,1.12502,0.93336,0.87179,0.93462,0.69005,0.94567,0.46931,0.89165,7.80002e-05,7.80002e-05,7.80002e-05
24,1514.2,0.95347,0.71409,1.12513,0.94139,0.87062,0.93578,0.69216,0.94675,0.46931,0.8915,7.70002e-05,7.70002e-05,7.70002e-05
25,1579.24,0.95745,0.71756,1.12852,0.93332,0.8742,0.93473,0.6914,0.94316,0.46996,0.89062,7.60002e-05,7.60002e-05,7.60002e-05
26,1642.2,0.9477,0.71354,1.12432,0.94072,0.86771,0.93503,0.69109,0.94308,0.46915,0.88936,7.50003e-05,7.50003e-05,7.50003e-05
27,1704.32,0.94837,0.71297,1.1237,0.93009,0.87797,0.93471,0.69337,0.93958,0.46928,0.89119,7.40003e-05,7.40003e-05,7.40003e-05
28,1765.78,0.946,0.71126,1.12137,0.9295,0.86689,0.92959,0.68897,0.94202,0.47477,0.89132,7.30003e-05,7.30003e-05,7.30003e-05
29,1829.49,0.95135,0.71287,1.12415,0.93585,0.87014,0.93319,0.69266,0.94187,0.47233,0.89127,7.20003e-05,7.20003e-05,7.20003e-05
30,1892.23,0.9483,0.7107,1.12277,0.93978,0.86943,0.93308,0.69206,0.93662,0.46993,0.88984,7.10003e-05,7.10003e-05,7.10003e-05
31,1954.05,0.94967,0.70939,1.12486,0.93625,0.86731,0.93271,0.69177,0.94031,0.473,0.88903,7.00003e-05,7.00003e-05,7.00003e-05
32,2016.58,0.94377,0.70386,1.11942,0.93611,0.8668,0.93241,0.69054,0.94219,0.47268,0.89057,6.90003e-05,6.90003e-05,6.90003e-05
