epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.256,1.4466,1.44008,1.50295,0.73548,0.60028,0.69601,0.41645,1.46629,1.01501,1.10834,0.000665906,0.000665906,0.000665906
2,326.956,1.40063,1.30415,1.47593,0.75026,0.72967,0.78892,0.48753,1.32622,0.90515,1.08952,0.00129959,0.00129959,0.00129959
3,489.866,1.33148,1.19597,1.43503,0.86234,0.7655,0.8466,0.52013,1.25744,0.80583,1.02989,0.00190028,0.00190028,0.00190028
4,654.196,1.28508,1.14131,1.40645,0.8473,0.79566,0.85203,0.55883,1.15292,0.74144,1.02091,0.0018515,0.0018515,0.0018515
5,833.16,1.23097,1.07129,1.37746,0.89189,0.80556,0.8755,0.56246,1.17864,0.705,1.01367,0.001802,0.001802,0.001802
6,1014.63,1.19364,1.00972,1.35067,0.88839,0.81984,0.88461,0.60055,1.09338,0.64734,0.98546,0.0017525,0.0017525,0.0017525
7,1193.67,1.17435,0.98568,1.33504,0.89023,0.78937,0.86298,0.57774,1.16584,0.68672,0.99562,0.001703,0.001703,0.001703
8,1369.34,1.15322,0.95191,1.32147,0.89464,0.8098,0.88455,0.58505,1.12937,0.6334,1.00226,0.0016535,0.0016535,0.0016535
9,1543.02,1.12087,0.91213,1.2992,0.91197,0.83747,0.90675,0.61222,1.09137,0.60796,0.99749,0.001604,0.001604,0.001604
10,1692.87,1.11674,0.89726,1.29582,0.9207,0.85246,0.9189,0.64001,1.01668,0.57493,0.95913,0.0015545,0.0015545,0.0015545
11,1854.43,1.09704,0.88158,1.28948,0.9169,0.83903,0.91035,0.63924,1.01499,0.58291,0.96387,0.001505,0.001505,0.001505
12,2039.02,1.08645,0.8623,1.28043,0.92771,0.85289,0.92721,0.65063,0.98678,0.56095,0.95256,0.0014555,0.0014555,0.0014555
13,2223.39,1.06058,0.83988,1.2618,0.92617,0.8494,0.92361,0.65097,0.99433,0.56559,0.95426,0.001406,0.001406,0.001406
14,2407.21,1.05814,0.8348,1.26255,0.93689,0.85716,0.92709,0.65948,0.9743,0.53581,0.94117,0.0013565,0.0013565,0.0013565
15,2592.87,1.04969,0.81905,1.2572,0.93619,0.86354,0.93174,0.65539,0.98724,0.5364,0.9408,0.001307,0.001307,0.001307
16,2769.42,1.04077,0.79704,1.25055,0.93706,0.86071,0.93317,0.66649,0.96954,0.52612,0.93318,0.0012575,0.0012575,0.0012575
17,2947.44,1.03188,0.79342,1.24239,0.94079,0.86126,0.93141,0.67219,0.95158,0.52127,0.93515,0.001208,0.001208,0.001208
18,3130.59,1.02006,0.77886,1.23412,0.93675,0.86558,0.93257,0.6698,0.94831,0.51944,0.93434,0.0011585,0.0011585,0.0011585
19,3307.83,1.00987,0.76417,1.2308,0.93613,0.88263,0.93766,0.68334,0.91644,0.49418,0.92453,0.001109,0.001109,0.001109
20,3466.89,1.0021,0.75351,1.22069,0.92986,0.86401,0.93049,0.67276,0.92149,0.51352,0.92875,0.0010595,0.0010595,0.0010595
21,3627.81,1.00165,0.75073,1.22266,0.94219,0.88342,0.94096,0.69086,0.89944,0.48586,0.92256,0.00101,0.00101,0.00101
22,3805.03,0.99177,0.74052,1.21567,0.94375,0.88183,0.94503,0.69366,0.89169,0.48433,0.91507,0.0009605,0.0009605,0.0009605
23,3989.14,0.98025,0.73049,1.21161,0.93938,0.86928,0.9381,0.68732,0.90136,0.48857,0.92572,0.000911,0.000911,0.000911
24,4174.67,0.97298,0.71862,1.20672,0.94525,0.88522,0.94802,0.69545,0.89171,0.47691,0.9076,0.0008615,0.0008615,0.0008615
25,4359.38,0.96284,0.7053,1.20157,0.93491,0.89028,0.94609,0.70125,0.88276,0.46065,0.9179,0.000812,0.000812,0.000812
26,4543.92,0.95498,0.69297,1.19711,0.94217,0.88692,0.94593,0.69948,0.87472,0.46151,0.91466,0.0007625,0.0007625,0.0007625
